"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2023_19_PHI_TB","PHI","TB","POST",9,32,276,426,702,11,10,1,3,1,3,9,4,0.0909090909090909,0.0909090909090909,0.818181818181818,0.3,0.3,0.4,2023
"2023_19_PIT_BUF","PIT","BUF","POST",17,31,324,368,692,11,11,2,4,1,1,8,6,0.181818181818182,0.0909090909090909,0.727272727272727,0.363636363636364,0.0909090909090909,0.545454545454545,2023
"2023_20_GB_SF","GB","SF","POST",21,24,332,356,688,10,10,2,3,2,1,6,6,0.2,0.2,0.6,0.3,0.1,0.6,2023
"2023_20_HOU_BAL","HOU","BAL","POST",10,34,213,352,565,11,10,0,4,1,2,10,4,0,0.0909090909090909,0.909090909090909,0.4,0.2,0.4,2023
"2023_20_KC_BUF","KC","BUF","POST",27,24,361,368,729,9,8,3,3,2,1,4,4,0.333333333333333,0.222222222222222,0.444444444444444,0.375,0.125,0.5,2023
"2023_20_TB_DET","TB","DET","POST",23,31,408,391,799,11,12,3,4,1,1,7,7,0.272727272727273,0.0909090909090909,0.636363636363636,0.333333333333333,0.0833333333333333,0.583333333333333,2023
"2023_21_DET_SF","DET","SF","POST",31,34,442,413,855,10,12,4,4,1,2,5,6,0.4,0.1,0.5,0.333333333333333,0.166666666666667,0.5,2023
"2023_21_KC_BAL","KC","BAL","POST",17,10,319,336,655,11,11,2,1,1,1,8,9,0.181818181818182,0.0909090909090909,0.727272727272727,0.0909090909090909,0.0909090909090909,0.818181818181818,2023
"2023_22_SF_KC","SF","KC","POST",22,25,382,455,837,13,14,2,3,3,4,8,7,0.153846153846154,0.230769230769231,0.615384615384615,0.214285714285714,0.285714285714286,0.5,2023
"2024_01_ARI_BUF","ARI","BUF","REG",28,34,272,352,624,10,10,3,4,2,2,5,4,0.3,0.2,0.5,0.4,0.2,0.4,2024
"2024_01_BAL_KC","BAL","KC","REG",20,27,452,353,805,11,10,2,4,3,2,6,4,0.181818181818182,0.272727272727273,0.545454545454545,0.4,0.2,0.4,2024
