"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","home_line","over_under","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2024_07_NE_JAX","NE","JAX","REG",16,32,295,366,661,9,9,2,3,1,1,6,5,6.5,42,0.222222222222222,0.111111111111111,0.666666666666667,0.333333333333333,0.111111111111111,0.555555555555556,2024
"2024_07_NYJ_PIT","NYJ","PIT","REG",15,37,325,409,734,13,11,2,3,0,3,11,5,-3,40,0.153846153846154,0,0.846153846153846,0.272727272727273,0.272727272727273,0.454545454545455,2024
"2024_07_PHI_NYG","PHI","NYG","REG",28,3,339,119,458,13,14,3,1,0,1,10,12,-3,42,0.230769230769231,0,0.769230769230769,0.0714285714285714,0.0714285714285714,0.857142857142857,2024
"2024_07_SEA_ATL","SEA","ATL","REG",34,14,339,369,708,10,11,3,2,2,0,5,9,3,51.5,0.3,0.2,0.5,0.181818181818182,0,0.818181818181818,2024
"2024_07_TEN_BUF","TEN","BUF","REG",10,34,289,389,678,12,12,1,4,1,4,10,4,9.5,41,0.0833333333333333,0.0833333333333333,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2024
"2024_08_ARI_MIA","ARI","MIA","REG",28,27,389,377,766,9,9,3,3,2,2,4,4,4,46.5,0.333333333333333,0.222222222222222,0.444444444444444,0.333333333333333,0.222222222222222,0.444444444444444,2024
"2024_08_ATL_TB","ATL","TB","REG",31,26,394,432,826,11,11,4,3,2,1,5,7,-1.5,47,0.363636363636364,0.181818181818182,0.454545454545455,0.272727272727273,0.0909090909090909,0.636363636363636,2024
"2024_08_BAL_CLE","BAL","CLE","REG",24,29,387,401,788,11,12,2,4,1,3,8,5,-7.5,44.5,0.181818181818182,0.0909090909090909,0.727272727272727,0.333333333333333,0.25,0.416666666666667,2024
"2024_08_BUF_SEA","BUF","SEA","REG",31,10,445,233,678,10,9,4,1,1,1,5,7,-3,45.5,0.4,0.1,0.5,0.111111111111111,0.111111111111111,0.777777777777778,2024
"2024_08_CAR_DEN","CAR","DEN","REG",14,28,284,400,684,11,13,2,5,0,0,9,8,13,40.5,0.181818181818182,0,0.818181818181818,0.384615384615385,0,0.615384615384615,2024
"2024_08_CHI_WAS","CHI","WAS","REG",15,18,309,481,790,11,13,2,2,0,4,9,7,1.5,46.5,0.181818181818182,0,0.818181818181818,0.153846153846154,0.307692307692308,0.538461538461538,2024
"2024_08_DAL_SF","DAL","SF","REG",24,30,292,469,761,13,12,3,3,1,3,9,6,5.5,48,0.230769230769231,0.0769230769230769,0.692307692307692,0.25,0.25,0.5,2024
"2024_08_GB_JAX","GB","JAX","REG",30,27,422,390,812,13,13,3,3,3,2,7,8,-3.5,49,0.230769230769231,0.230769230769231,0.538461538461538,0.230769230769231,0.153846153846154,0.615384615384615,2024
"2024_08_IND_HOU","IND","HOU","REG",20,23,303,363,666,13,13,2,2,2,3,9,8,5,45,0.153846153846154,0.153846153846154,0.692307692307692,0.153846153846154,0.230769230769231,0.615384615384615,2024
"2024_08_KC_LV","KC","LV","REG",27,20,334,228,562,9,9,3,2,2,2,4,5,-9,42,0.333333333333333,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.555555555555556,2024
